Experiment: 20251212_SPOCK1_DN-TRES  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	G13	Sample 157	19,49		0	
True	255	G14	Sample 158	18,83		0	
True	255	G15	Sample 159	18,78		0	
True	255	G16	Sample 160	18,70		0	
True	255	G17	Sample 161	18,70		0	
True	255	G18	Sample 162	18,31		0	
True	255	G19	Sample 163	17,70		0	
True	255	G20	Sample 164	17,26		0	
True	255	G21	Sample 165	16,50		0	
True	255	G22	Sample 166	17,97		0	
True	255	G23	Sample 167	17,97		0	
True	255	G24	Sample 168	17,90		0	
True	65280	H1	Sample 169			0	
True	16711680	H2	Sample 170	22,35		0	? - Detector Call uncertain
True	65280	H3	Sample 171			0	
True	255	H4	Sample 172	33,98		0	
True	255	H5	Sample 173	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	H6	Sample 174	34,12		0	
True	65280	H7	Sample 175			0	
True	65280	H8	Sample 176			0	
True	65280	H9	Sample 177			0	
True	255	H10	Sample 178	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	H11	Sample 179	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	H12	Sample 180	33,21		0	
True	255	H13	Sample 181	32,06		0	
True	255	H14	Sample 182	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	H15	Sample 183	31,84		0	
True	255	H16	Sample 184	34,15		0	
True	255	H17	Sample 185	33,27		0	
True	255	H18	Sample 186	32,71		0	
True	255	H19	Sample 187	33,12		0	
True	255	H20	Sample 188	31,93		0	
True	255	H21	Sample 189	30,53		0	
True	255	H22	Sample 190	31,60		0	
True	255	H23	Sample 191	32,20		0	
True	255	H24	Sample 192	31,38		0	
True	255	I1	Sample 193	24,71		0	
True	255	I2	Sample 194	23,67		0	
True	255	I3	Sample 195	23,25		0	
True	255	I4	Sample 196	25,50		0	
True	255	I5	Sample 197	25,25		0	
True	255	I6	Sample 198	24,58		0	
True	255	I7	Sample 199	23,23		0	
True	255	I8	Sample 200	22,96		0	
True	255	I9	Sample 201	21,79		0	
True	255	I10	Sample 202	32,68		0	
True	255	I11	Sample 203	25,17		0	
True	255	I12	Sample 204	25,58		0	
True	255	I13	Sample 205	24,52		0	
True	255	I14	Sample 206	23,90		0	
True	255	I15	Sample 207	23,94		0	
True	255	I16	Sample 208	24,78		0	
True	255	I17	Sample 209	24,80		0	
True	255	I18	Sample 210	24,80		0	
True	255	I19	Sample 211	25,95		0	
True	255	I20	Sample 212	25,56		0	
True	255	I21	Sample 213	23,85		0	
True	255	I22	Sample 214	24,15		0	
True	255	I23	Sample 215	24,16		0	
True	255	I24	Sample 216	23,82		0	
True	255	J1	Sample 217	21,09		0	
True	255	J2	Sample 218	21,01		0	
True	255	J3	Sample 219	20,84		0	
True	255	J4	Sample 220	20,10		0	
True	255	J5	Sample 221	20,06		0	
True	255	J6	Sample 222	19,18		0	
True	255	J7	Sample 223	21,60		0	
True	255	J8	Sample 224	20,74		0	
True	255	J9	Sample 225	19,45		0	
True	255	J10	Sample 226	22,49		0	
True	255	J11	Sample 227	22,08		0	
True	255	J12	Sample 228	20,11		0	
True	255	J13	Sample 229	20,63		0	
True	255	J14	Sample 230	20,61		0	
True	255	J15	Sample 231	20,21		0	
True	255	J16	Sample 232	23,90		0	
True	255	J17	Sample 233	23,76		0	
True	255	J18	Sample 234	22,57		0	
True	255	J19	Sample 235	26,60		0	
True	255	J20	Sample 236	25,92		0	
True	255	J21	Sample 237	24,82		0	
True	65280	J22	Sample 238			0	
True	65280	J23	Sample 239			0	
True	65280	J24	Sample 240			0	
True	255	K1	Sample 241	29,83		0	
True	255	K2	Sample 242	29,06		0	
True	255	K3	Sample 243	29,43		0	
True	255	K4	Sample 244	29,74		0	
True	255	K5	Sample 245	29,67		0	
True	255	K6	Sample 246	29,62		0	
True	255	K7	Sample 247	27,91		0	
True	255	K8	Sample 248	28,01		0	
True	255	K9	Sample 249	27,57		0	
True	255	K10	Sample 250	32,64		0	
True	255	K11	Sample 251	29,55		0	
True	65280	K12	Sample 252			0	
True	255	K13	Sample 253	26,93		0	
True	255	K14	Sample 254	26,80		0	
True	255	K15	Sample 255	26,70		0	
True	255	K16	Sample 256	27,26		0	
True	255	K17	Sample 257	27,20		0	
True	255	K18	Sample 258	27,27		0	
True	255	K19	Sample 259	27,58		0	
True	255	K20	Sample 260	27,43		0	
True	255	K21	Sample 261	26,62		0	
True	255	K22	Sample 262	27,12		0	
True	255	K23	Sample 263	27,10		0	
True	255	K24	Sample 264	26,87		0	
True	255	L1	Sample 265	28,50		0	
True	255	L2	Sample 266	28,66		0	
True	255	L3	Sample 267	28,49		0	
True	255	L4	Sample 268	24,85		0	
True	255	L5	Sample 269	24,82		0	
True	255	L6	Sample 270	24,08		0	
True	255	L7	Sample 271	24,98		0	
True	255	L8	Sample 272	24,73		0	
True	255	L9	Sample 273	23,75		0	
True	255	L10	Sample 274	28,63		0	
True	255	L11	Sample 275	28,66		0	
True	255	L12	Sample 276	27,61		0	
True	255	L13	Sample 277	28,62		0	
True	255	L14	Sample 278	28,51		0	
True	255	L15	Sample 279	28,32		0	
True	255	L16	Sample 280	26,86		0	
True	255	L17	Sample 281	26,70		0	
True	255	L18	Sample 282	27,84		0	
True	255	L19	Sample 283	28,73		0	
True	255	L20	Sample 284	28,01		0	
True	255	L21	Sample 285	30,10		0	
True	65280	L22	Sample 286			0	
True	65280	L23	Sample 287			0	
True	65280	L24	Sample 288			0	
True	255	M1	Sample 289	24,42		0	
True	255	M2	Sample 290	23,91		0	
True	255	M3	Sample 291	23,80		0	
True	255	M4	Sample 292	24,16		0	
True	255	M5	Sample 293	24,15		0	
True	255	M6	Sample 294	23,60		0	
True	255	M7	Sample 295	23,44		0	
True	255	M8	Sample 296	23,25		0	
True	255	M9	Sample 297	22,15		0	
True	255	M10	Sample 298	26,44		0	
True	255	M11	Sample 299	24,26		0	
True	255	M12	Sample 300	22,53		0	
True	255	M13	Sample 301	23,86		0	
True	255	M14	Sample 302	23,49		0	
True	255	M15	Sample 303	23,45		0	
True	255	M16	Sample 304	25,11		0	
True	255	M17	Sample 305	25,02		0	
True	255	M18	Sample 306	24,84		0	
True	255	M19	Sample 307	25,56		0	
True	255	M20	Sample 308	25,02		0	
True	255	M21	Sample 309	24,50		0	
True	255	M22	Sample 310	23,90		0	
True	255	M23	Sample 311	23,83		0	
True	255	M24	Sample 312	23,68		0	
True	255	N1	Sample 313	30,64		0	
True	255	N2	Sample 314	30,53		0	
True	255	N3	Sample 315	29,79		0	
True	255	N4	Sample 316	19,96		0	
True	255	N5	Sample 317	19,93		0	
True	255	N6	Sample 318	19,43		0	
True	255	N7	Sample 319	20,58		0	
True	255	N8	Sample 320	20,07		0	
True	255	N9	Sample 321	19,14		0	
True	255	N10	Sample 322	21,81		0	
True	255	N11	Sample 323	21,77		0	
True	255	N12	Sample 324	21,15		0	
True	255	N13	Sample 325	20,99		0	
True	255	N14	Sample 326	20,96		0	
True	255	N15	Sample 327	20,71		0	
True	255	N16	Sample 328	24,49		0	
True	255	N17	Sample 329	24,47		0	
True	255	N18	Sample 330	23,43		0	
True	255	N19	Sample 331	26,63		0	
True	255	N20	Sample 332	25,61		0	
True	255	N21	Sample 333	24,25		0	
True	65280	N22	Sample 334			0	
True	255	N23	Sample 335	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	65280	N24	Sample 336			0	
True	255	O1	Sample 337	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	O2	Sample 338	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	O3	Sample 339	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	O4	Sample 340	33,19		0	
True	255	O5	Sample 341	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	O6	Sample 342	33,37		0	
True	255	O7	Sample 343	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	O8	Sample 344	32,87		0	
True	255	O9	Sample 345	32,24		0	
True	255	O10	Sample 346	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	O11	Sample 347	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	O12	Sample 348	34,33		0	
True	255	O13	Sample 349	31,97		0	
True	255	O14	Sample 350	31,15		0	
True	255	O15	Sample 351	31,45		0	
True	255	O16	Sample 352	33,12		0	
True	255	O17	Sample 353	32,93		0	
True	255	O18	Sample 354	32,95		0	
True	65280	O19	Sample 355			0	
True	255	O20	Sample 356	34,99		0	
True	255	O21	Sample 357	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	O22	Sample 358	33,19		0	
True	255	O23	Sample 359	32,95		0	
True	255	O24	Sample 360	32,29		0	
True	255	P1	Sample 361	19,82		0	
True	255	P2	Sample 362	19,73		0	
True	255	P3	Sample 363	19,02		0	
True	255	P4	Sample 364	29,75		0	
True	255	P5	Sample 365	29,82		0	
True	255	P6	Sample 366	29,45		0	
True	255	P7	Sample 367	31,70		0	
True	255	P8	Sample 368	30,68		0	
True	255	P9	Sample 369	29,68		0	
True	255	P10	Sample 370	32,58		0	
True	255	P11	Sample 371	32,18		0	
True	255	P12	Sample 372	31,07		0	
True	255	P13	Sample 373	30,89		0	
True	255	P14	Sample 374	30,64		0	
True	255	P15	Sample 375	30,33		0	
True	255	P16	Sample 376	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	P17	Sample 377	32,29		0	
True	255	P18	Sample 378	33,13		0	
True	65280	P19	Sample 379			0	
True	255	P20	Sample 380	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	P21	Sample 381	32,11		0	
True	65280	P22	Sample 382			0	
True	65280	P23	Sample 383			0	
True	65280	P24	Sample 384			0	
